node,R,G,B
2474,1.1666666666666667,254.33333333333334,0.16666666666666666
2475,20.666666666666668,236.66666666666666,49.666666666666664
2476,29.5,231.0,55.0
2477,1.4285714285714286,254.71428571428572,1.4285714285714286
2478,25.0,229.5,51.5
2479,0.0,94.2,83.2
2480,22.0,245.0,251.33333333333334
2481,50.0,230.0,250.5
2482,39.0,220.0,79.0
2483,22.0,233.33333333333334,48.666666666666664
2484,0.0,101.0,67.4
2485,19.1,69.1,134.6
2486,30.0,231.0,75.0
2487,5.8125,119.25,91.8125
2488,29.666666666666668,240.66666666666666,255.0
2489,25.0,233.0,55.0
2490,2.3333333333333335,254.33333333333334,4.5
2491,23.5,228.0,57.5
2492,2.0,254.0,4.166666666666667
2493,1.6666666666666667,254.0,1.5
2494,26.0,229.33333333333334,56.666666666666664
2495,0.0,94.0,123.4
2496,40.0,236.25,252.5
2497,2.1666666666666665,90.83333333333333,93.5
2498,14.8,70.6,140.2
2499,15.875,74.125,127.125
2500,7.25,82.5,123.75
2517,41.142857142857146,142.85714285714286,116.14285714285714
2518,0.0,101.33333333333333,87.0
2519,0.0,104.0,116.0
2520,17.555555555555557,228.55555555555554,240.11111111111111
2521,49.0,231.0,255.0
2522,0.0,93.8,137.0
2523,4.5,78.5,136.5
2524,1.0,82.0,106.5
2525,5.25,142.5,45.5
2526,36.666666666666664,222.0,80.66666666666667
2527,5.0,249.5,14.166666666666666
2528,6.2,246.8,20.2
2529,2.375,253.75,4.0
2530,21.8,235.6,48.4
2531,46.0,210.25,101.75
2532,9.0,81.33333333333333,110.0
2533,13.8,116.2,84.0
2534,2.0,253.5,4.0
2535,28.375,219.625,239.75
2536,13.5,243.0,28.25
2537,3.75,81.25,104.75
2538,49.285714285714285,206.42857142857142,238.0
2539,8.285714285714286,121.71428571428571,98.85714285714286
2540,38.5,135.0,130.0
2541,5.5,78.5,117.0
2542,71.33333333333333,191.0,235.16666666666666
2543,19.77777777777778,66.44444444444444,48.888888888888886
2558,12.4,55.4,50.9
2559,38.8,203.4,228.4
2560,21.285714285714285,244.85714285714286,252.57142857142858
2561,22.8,245.2,253.8
2562,23.8,148.4,185.6
2563,11.2,72.2,140.0
2564,11.857142857142858,73.14285714285714,134.14285714285714
2565,5.25,249.25,14.5
2566,0.75,254.25,4.5
2567,4.333333333333333,251.66666666666666,14.333333333333334
2568,0.0,116.33333333333333,27.666666666666668
2569,1.1666666666666667,254.16666666666666,4.0
2570,29.0,230.0,56.0
2571,0.0,81.0,137.66666666666666
2572,28.5,216.66666666666666,233.66666666666666
2573,9.384615384615385,105.46153846153847,110.84615384615384
2574,12.5,73.5,123.0
2575,7.333333333333333,79.0,112.66666666666667
2576,24.2,200.4,66.6
2577,0.8888888888888888,254.66666666666666,1.2222222222222223
2578,0.8,94.4,77.4
2579,22.333333333333332,138.66666666666666,73.33333333333333
2580,22.333333333333332,235.66666666666666,45.0
2581,0.0,254.66666666666666,0.3333333333333333
2582,0.0,110.0,46.75
2583,2.5,253.25,10.75
2584,0.75,254.25,2.5
2585,3.0,252.0,10.75
2586,19.0,237.5,44.5
2587,0.0,98.5,89.83333333333333
2588,0.0,85.0,132.0
2589,37.4,192.6,84.4
2590,13.9,92.6,112.4
2591,0.0,96.0,77.5
2592,8.0,74.57142857142857,141.42857142857142
2593,0.0,100.0,114.2
2609,38.0,235.0,254.5
2610,4.333333333333333,84.33333333333333,102.0
2611,7.0,83.0,108.5
2612,11.0,131.5,66.75
2613,29.666666666666668,227.0,64.66666666666667
2614,43.714285714285715,211.42857142857142,237.28571428571428
